NAME,VARID,ModuleNo,Module,TYPE,TYPE NAME,ID2
agconv,2,1,Agriculture,2,Parameter,agconv : Agriculture Model
AGDEM,3,1,Agriculture,1,Variable,AGDEM : Agriculture Model
AGFISHCATCH,1216,1,Agriculture,1,Variable,AGFISHCATCH : Agriculture Model
aginvm,5,1,Agriculture,2,Parameter,aginvm : Agriculture Model
AGLOSSCONS,1218,1,Agriculture,1,Variable,AGLOSSCONS : Agriculture Model
aglossconsm,1221,1,Agriculture,2,Parameter,aglossconsm : Agriculture Model
AGLOSSPROD,1209,1,Agriculture,1,Variable,AGLOSSPROD : Agriculture Model
aglossprodm,1220,1,Agriculture,2,Parameter,aglossprodm : Agriculture Model
AGLOSSTRANS,1214,1,Agriculture,1,Variable,AGLOSSTRANS : Agriculture Model
aglosstransm,1215,1,Agriculture,2,Parameter,aglosstransm : Agriculture Model
AGM,6,1,Agriculture,1,Variable,AGM : Agriculture Model
AGMVALUE,1222,1,Agriculture,1,Variable,AGMVALUE : Agriculture Model
agon,7,1,Agriculture,2,Parameter,agon : Agriculture Model
AGP,8,1,Agriculture,1,Variable,AGP : Agriculture Model
AGPMILKEGGS,1204,1,Agriculture,1,Variable,AGPMILKEGGS : Agriculture Model
AGX,9,1,Agriculture,1,Variable,AGX : Agriculture Model
AGXVALUE,1223,1,Agriculture,1,Variable,AGXVALUE : Agriculture Model
AID,10,9,Sociopolitical,1,Variable,AID : Sociopolitical Model
aiddon,11,9,Sociopolitical,2,Parameter,aiddon : Sociopolitical Model
aidgradpoint,1319,9,Sociopolitical,2,Parameter,aidgradpoint : Sociopolitical Model
aidlp,12,9,Sociopolitical,2,Parameter,aidlp : Sociopolitical Model
aidlpm,13,9,Sociopolitical,2,Parameter,aidlpm : Sociopolitical Model
AIDREC,14,9,Sociopolitical,1,Variable,AIDREC : Sociopolitical Model
aidrecgovconp,1503,9,Sociopolitical,2,Parameter,aidrecgovconp : Sociopolitical Model
aidrecm,1318,9,Sociopolitical,2,Parameter,aidrecm : Sociopolitical Model
AIDSDRATE,15,2,Demography,1,Variable,AIDSDRATE : Demography Model
aidsdratem,16,2,Demography,2,Parameter,aidsdratem : Demography Model
aidsdrtadvr,17,2,Demography,2,Parameter,aidsdrtadvr : Demography Model
AIDSDTHS,18,2,Demography,1,Variable,AIDSDTHS : Demography Model
AIDSDTHSCM,19,2,Demography,1,Variable,AIDSDTHSCM : Demography Model
DEATHCAT,108,10,Health,1,Variable,DEATHCAT : Health Model
deathtrpvm,111,10,Health,2,Parameter,deathtrpvm : Health Model
ECONINTEG,145,6,Environment,1,Variable,ECONINTEG : Environment Model
ally,20,8,Interstate,2,Parameter,ally : Interstate Model
AQUACUL,21,1,Agriculture,1,Variable,AQUACUL : Agriculture Model
aquaculconv,22,1,Agriculture,2,Parameter,aquaculconv : Agriculture Model
aquaculgr,23,1,Agriculture,2,Parameter,aquaculgr : Agriculture Model
aquaculm,24,1,Agriculture,2,Parameter,aquaculm : Agriculture Model
ASAGDP,25,6,Environment,1,Variable,ASAGDP : Environment Model
ASAGDPCUMCHG,26,6,Environment,1,Variable,ASAGDPCUMCHG : Environment Model
ASAGDPDMAT,27,6,Environment,1,Variable,ASAGDPDMAT : Environment Model
ASAGDPGRRB,28,6,Environment,1,Variable,ASAGDPGRRB : Environment Model
ASALAB,29,6,Environment,1,Variable,ASALAB : Environment Model
ASALABCUMCHG,30,6,Environment,1,Variable,ASALABCUMCHG : Environment Model
ASALABDMAT,31,6,Environment,1,Variable,ASALABDMAT : Environment Model
ASALABGRRB,32,6,Environment,1,Variable,ASALABGRRB : Environment Model
ASAPOP,33,6,Environment,1,Variable,ASAPOP : Environment Model
ASAPOPCUMCHG,34,6,Environment,1,Variable,ASAPOPCUMCHG : Environment Model
ASAPOPDMAT,35,6,Environment,1,Variable,ASAPOPDMAT : Environment Model
ASAPOPGRRB,36,6,Environment,1,Variable,ASAPOPGRRB : Environment Model
ASARAW,37,6,Environment,1,Variable,ASARAW : Environment Model
ASARAWDMAT,38,6,Environment,1,Variable,ASARAWDMAT : Environment Model
bilateraltradeforwardlinksw,1323,3,Economy,2,Parameter,bilateraltradeforwardlinksw : Economy Model
birthmshr,40,2,Demography,2,Parameter,birthmshr : Demography Model
BIRTHS,41,2,Demography,1,Variable,BIRTHS : Demography Model
C,42,3,Economy,1,Variable,C : Economy Model
calmax,43,1,Agriculture,2,Parameter,calmax : Agriculture Model
calmeatm,44,1,Agriculture,2,Parameter,calmeatm : Agriculture Model
CAPUT,45,3,Economy,1,Variable,CAPUT : Economy Model
caputtar,46,3,Economy,2,Parameter,caputtar : Economy Model
carabr,47,6,Environment,2,Parameter,carabr : Environment Model
CARANN,49,6,Environment,1,Variable,CARANN : Environment Model
carannwi,50,6,Environment,1,Variable,carannwi : Environment Model
carbtax,51,6,Environment,2,Parameter,carbtax : Environment Model
CARFOROTH,52,6,Environment,1,Variable,CARFOROTH : Environment Model
carforst,53,6,Environment,2,Parameter,carforst : Environment Model
carfuel1,54,6,Environment,2,Parameter,carfuel1 : Environment Model
carfuel2,55,6,Environment,2,Parameter,carfuel2 : Environment Model
carfuel3,56,6,Environment,2,Parameter,carfuel3 : Environment Model
carinit,57,6,Environment,2,Parameter,carinit : Environment Model
carprein,58,6,Environment,2,Parameter,carprein : Environment Model
CARS,59,7,Infrastructure,1,Variable,CARS : Infrastructure Model
CARSALPC,60,7,Infrastructure,1,Variable,CARSALPC : Infrastructure Model
carsconv,61,7,Infrastructure,2,Parameter,carsconv : Infrastructure Model
carsm,62,7,Infrastructure,2,Parameter,carsm : Infrastructure Model
CARSTOT,63,7,Infrastructure,1,Variable,CARSTOT : Infrastructure Model
carstotm,64,7,Infrastructure,2,Parameter,carstotm : Infrastructure Model
CBR,65,2,Demography,1,Variable,CBR : Demography Model
CDALF,66,3,Economy,1,Variable,CDALF : Economy Model
cdmf,67,8,Interstate,2,Parameter,cdmf : Interstate Model
CDR,68,2,Demography,1,Variable,CDR : Demography Model
CHILDDTHR,1376,2,Demography,1,Variable,CHILDDTHR : Demography Model
CHLMOR,1372,2,Demography,1,Variable,CHLMOR : Demography Model
CIVDM,69,8,Interstate,1,Variable,CIVDM : Interstate Model
CLAVAL,70,1,Agriculture,1,Variable,CLAVAL : Agriculture Model
CLD,71,1,Agriculture,1,Variable,CLD : Agriculture Model
CLIMECONIMP,1363,6,Environment,1,Variable,CLIMECONIMP : Environment Model
climeconimplin,1361,6,Environment,2,Parameter,climeconimplin : Environment Model
climeconimpsq,1362,6,Environment,2,Parameter,climeconimpsq : Environment Model
climeconimpstk,1373,6,Environment,2,Parameter,climeconimpstk : Environment Model
climeconimpsw,1360,6,Environment,2,Parameter,climeconimpsw : Environment Model
CLNEED,72,2,Demography,1,Variable,CLNEED : Demography Model
clnf,73,2,Demography,2,Parameter,clnf : Demography Model
CLPC,74,1,Agriculture,1,Variable,CLPC : Agriculture Model
clpcm,4,1,Agriculture,2,Parameter,clpcm : Agriculture Model
clsexp,75,2,Demography,2,Parameter,clsexp : Demography Model
CO2PER,76,6,Environment,1,Variable,CO2PER : Environment Model
CO2PPM,77,6,Environment,1,Variable,CO2PPM : Environment Model
co2prein,78,6,Environment,2,Parameter,co2prein : Environment Model
confforsw,79,9,Sociopolitical,2,Parameter,confforsw : Sociopolitical Model
contiguity,80,8,Interstate,2,Parameter,contiguity : Interstate Model
CONTRUSE,81,2,Demography,1,Variable,CONTRUSE : Demography Model
contrusm,82,2,Demography,2,Parameter,contrusm : Demography Model
CPCTND,83,3,Economy,1,Variable,CPCTND : Economy Model
cpctnduse,84,3,Economy,2,Parameter,cpctnduse : Economy Model
CPOW,85,8,Interstate,1,Variable,CPOW : Interstate Model
cpowdf,86,8,Interstate,2,Parameter,cpowdf : Interstate Model
cpowf,87,8,Interstate,1,Variable,cpowf : Interstate Model
cpowldcf,88,8,Interstate,2,Parameter,cpowldcf : Interstate Model
CPREWORK,89,3,Economy,1,Variable,CPREWORK : Economy Model
CRA,90,3,Economy,1,Variable,CRA : Economy Model
CRETIRE,91,3,Economy,1,Variable,CRETIRE : Economy Model
CS,92,3,Economy,1,Variable,CS : Economy Model
CSHHS,93,3,Economy,1,Variable,CSHHS : Economy Model
CSHHU,94,3,Economy,1,Variable,CSHHU : Economy Model
CULTREG,95,9,Sociopolitical,1,Variable,CULTREG : Sociopolitical Model
cultshmp,96,9,Sociopolitical,2,Parameter,cultshmp : Sociopolitical Model
cultshse,97,9,Sociopolitical,2,Parameter,cultshse : Sociopolitical Model
cultshts,99,9,Sociopolitical,2,Parameter,cultshts : Sociopolitical Model
CURACT,101,3,Economy,1,Variable,CURACT : Economy Model
CWAR,102,8,Interstate,1,Variable,CWAR : Interstate Model
cwarbase,103,8,Interstate,2,Parameter,cwarbase : Interstate Model
CWARPB,105,8,Interstate,1,Variable,CWARPB : Interstate Model
cwarsv,106,8,Interstate,2,Parameter,cwarsv : Interstate Model
CWORKING,107,3,Economy,1,Variable,CWORKING : Economy Model
DEATHS,109,2,Demography,1,Variable,DEATHS : Demography Model
DEATHTRPV,110,2,Demography,1,Variable,DEATHTRPV : Demography Model
elendemict,244,7,Infrastructure,2,Parameter,elendemict : Infrastructure Model
deathtrpvsetar,112,2,Demography,2,Parameter,deathtrpvsetar : Demography Model
deathtrpvseyrtar,113,2,Demography,2,Parameter,deathtrpvseyrtar : Demography Model
democconv,114,2,Demography,2,Parameter,democconv : Demography Model
DEMOCEXP,115,9,Sociopolitical,1,Variable,DEMOCEXP : Sociopolitical Model
democimpoth,116,9,Sociopolitical,2,Parameter,democimpoth : Sociopolitical Model
democimpus,117,9,Sociopolitical,2,Parameter,democimpus : Sociopolitical Model
democimpusn,118,9,Sociopolitical,2,Parameter,democimpusn : Sociopolitical Model
democm,119,9,Sociopolitical,2,Parameter,democm : Sociopolitical Model
DEMOCPOLITY,120,9,Sociopolitical,1,Variable,DEMOCPOLITY : Sociopolitical Model
democpolitysetar,121,9,Sociopolitical,2,Parameter,democpolitysetar : Sociopolitical Model
democpolityseyrtar,122,9,Sociopolitical,2,Parameter,democpolityseyrtar : Sociopolitical Model
DEMOCWAVE,123,9,Sociopolitical,1,Variable,DEMOCWAVE : Sociopolitical Model
DEMOCWVCOUNT,124,9,Sociopolitical,1,Variable,DEMOCWVCOUNT : Sociopolitical Model
DEMOCWVDIR,125,9,Sociopolitical,1,Variable,DEMOCWVDIR : Sociopolitical Model
democwvlen,126,9,Sociopolitical,2,Parameter,democwvlen : Sociopolitical Model
democwvmax,127,9,Sociopolitical,2,Parameter,democwvmax : Sociopolitical Model
desald,1416,5,Energy,2,Parameter,desald : Energy Model
desali,1415,5,Energy,2,Parameter,desali : Energy Model
diplodistancetoeu,128,8,Interstate,2,Parameter,diplodistancetoeu : Interstate Model
DIPLOEMBASSY,129,8,Interstate,1,Variable,DIPLOEMBASSY : Interstate Model
DIPLOEMBASSYMAX,130,8,Interstate,1,Variable,DIPLOEMBASSYMAX : Interstate Model
diploembassymaxm,131,8,Interstate,2,Parameter,diploembassymaxm : Interstate Model
DIPLOIGO,132,8,Interstate,1,Variable,DIPLOIGO : Interstate Model
DIPLOIGOMAX,133,8,Interstate,1,Variable,DIPLOIGOMAX : Interstate Model
diploigomaxm,134,8,Interstate,2,Parameter,diploigomaxm : Interstate Model
DIPLOINGOADVOCACY,1284,8,Interstate,1,Variable,DIPLOINGOADVOCACY : Interstate Model
diploingoadvocacyconv,1285,8,Interstate,2,Parameter,diploingoadvocacyconv : Interstate Model
diploingoadvocacym,1286,8,Interstate,2,Parameter,diploingoadvocacym : Interstate Model
DIPLOINGOPROGRAM,1287,8,Interstate,1,Variable,DIPLOINGOPROGRAM : Interstate Model
diploingoprogramconv,1288,8,Interstate,2,Parameter,diploingoprogramconv : Interstate Model
diploingoprogramm,1289,8,Interstate,2,Parameter,diploingoprogramm : Interstate Model
DIPLOTREATY,135,8,Interstate,1,Variable,DIPLOTREATY : Interstate Model
DIPLOTREATYMAX,136,8,Interstate,1,Variable,DIPLOTREATYMAX : Interstate Model
diplotreatymaxm,137,8,Interstate,2,Parameter,diplotreatymaxm : Interstate Model
dkl,138,1,Agriculture,2,Parameter,dkl : Agriculture Model
drcpow,139,8,Interstate,2,Parameter,drcpow : Interstate Model
drnpow,140,8,Interstate,2,Parameter,drnpow : Interstate Model
elenrenict,251,11,Other,2,Parameter,elenrenict : Other Model
elglinpr,261,11,Other,2,Parameter,elglinpr : Other Model
DRUGUSEAMPHETAMINE,1417,2,Demography,1,Variable,DRUGUSEAMPHETAMINE : Demography Model
DRUGUSECOCAINE,1418,2,Demography,1,Variable,DRUGUSECOCAINE : Demography Model
ENSOLFUEL,314,11,Other,1,Variable,ENSOLFUEL : Other Model
DRUGUSEOPIATES,1419,2,Demography,1,Variable,DRUGUSEOPIATES : Demography Model
ensolfuelm,315,11,Other,2,Parameter,ensolfuelm : Other Model
ensolfuelsetar,316,11,Other,2,Parameter,ensolfuelsetar : Other Model
DRUGUSEPRESCRIPTOPIOID,1420,2,Demography,1,Variable,DRUGUSEPRESCRIPTOPIOID : Demography Model
ensolfuelseyrtar,317,11,Other,2,Parameter,ensolfuelseyrtar : Other Model
dstl,141,3,Economy,2,Parameter,dstl : Economy Model
dstlen,142,5,Energy,2,Parameter,dstlen : Energy Model
ECONFREE,143,9,Sociopolitical,1,Variable,ECONFREE : Sociopolitical Model
econfreem,144,9,Sociopolitical,2,Parameter,econfreem : Sociopolitical Model
ensolfueltrgtval,318,11,Other,2,Parameter,ensolfueltrgtval : Other Model
EDBASENRG,146,4,Education,1,Variable,EDBASENRG : Education Model
ensolfueltrgtyr,319,11,Other,2,Parameter,ensolfueltrgtyr : Other Model
EDEXPERPRI,148,4,Education,1,Variable,EDEXPERPRI : Education Model
edexperprim,1482,4,Education,2,Parameter,edexperprim : Education Model
EDEXPERSEC,149,4,Education,1,Variable,EDEXPERSEC : Education Model
EDEXPERSECLOWR,150,4,Education,1,Variable,EDEXPERSECLOWR : Education Model
edexperseclowrm,1483,4,Education,2,Parameter,edexperseclowrm : Education Model
EDEXPERSECUPPR,151,4,Education,1,Variable,EDEXPERSECUPPR : Education Model
edexpersecupprm,1484,4,Education,2,Parameter,edexpersecupprm : Education Model
EDEXPERTER,152,4,Education,1,Variable,EDEXPERTER : Education Model
edexperterm,1485,4,Education,2,Parameter,edexperterm : Education Model
edexppconv,153,4,Education,2,Parameter,edexppconv : Education Model
edexpslconv,154,4,Education,2,Parameter,edexpslconv : Education Model
edexpsuconv,155,4,Education,2,Parameter,edexpsuconv : Education Model
edexptconv,156,4,Education,2,Parameter,edexptconv : Education Model
edpricostadjrural,158,4,Education,2,Parameter,edpricostadjrural : Education Model
EDPRICR,159,4,Education,1,Variable,EDPRICR : Education Model
EDPRIENRG,160,4,Education,1,Variable,EDPRIENRG : Education Model
EDPRIENRN,161,4,Education,1,Variable,EDPRIENRN : Education Model
edprigoalexper,164,4,Education,2,Parameter,edprigoalexper : Education Model
edprigoalexperon,165,4,Education,2,Parameter,edprigoalexperon : Education Model
EDPRIGRADS,166,4,Education,1,Variable,EDPRIGRADS : Education Model
EDPRIINT,167,4,Education,1,Variable,EDPRIINT : Education Model
EDPRIINTN,168,4,Education,1,Variable,EDPRIINTN : Education Model
edpriintngr,169,4,Education,2,Parameter,edpriintngr : Education Model
ENVYLCHG,328,11,Other,1,Variable,ENVYLCHG : Other Model
edprilen,170,4,Education,2,Parameter,edprilen : Education Model
EDPRIPER,171,4,Education,1,Variable,EDPRIPER : Education Model
EDPRIPER15TO24,,4,Education,1,Variable,EDPRIPER15TO24 : Education Model
EDPRIPTR,172,4,Education,2,Parameter,EDPRIPTR : Education Model
edpristart,173,4,Education,2,Parameter,edpristart : Education Model
EDPRISUR,174,4,Education,1,Variable,EDPRISUR : Education Model
edprisurgr,175,4,Education,2,Parameter,edprisurgr : Education Model
extmafuncelectran,345,11,Other,2,Parameter,extmafuncelectran : Other Model
EDPRITOT,176,4,Education,1,Variable,EDPRITOT : Education Model
edqtqltrm,177,4,Education,2,Parameter,edqtqltrm : Education Model
EDQUALAG15,1409,4,Education,1,Variable,EDQUALAG15 : Education Model
edqualag15m,1407,4,Education,2,Parameter,edqualag15m : Education Model
EDQUALAG15PRI,1411,4,Education,1,Variable,EDQUALAG15PRI : Education Model
EDQUALAG15SEC,1412,4,Education,1,Variable,EDQUALAG15SEC : Education Model
EDQUALPRIALL,1399,4,Education,1,Variable,EDQUALPRIALL : Education Model
edqualpriallm,1406,4,Education,2,Parameter,edqualpriallm : Education Model
EDQUALPRIMATH,1394,4,Education,1,Variable,EDQUALPRIMATH : Education Model
edqualprimathm,1497,4,Education,2,Parameter,edqualprimathm : Education Model
EDQUALPRIREAD,1395,4,Education,1,Variable,EDQUALPRIREAD : Education Model
edqualprireadm,1498,4,Education,2,Parameter,edqualprireadm : Education Model
EDQUALPRISCI,1393,4,Education,1,Variable,EDQUALPRISCI : Education Model
edqualpriscim,1478,4,Education,2,Parameter,edqualpriscim : Education Model
edqualprispndimp,1475,4,Education,2,Parameter,edqualprispndimp : Education Model
edqualprispndimpthreshold,1493,4,Education,2,Parameter,edqualprispndimpthreshold : Education Model
edqualprispndimpthresholdval,1496,4,Education,2,Parameter,edqualprispndimpthresholdval : Education Model
EDQUALSECALL,1400,4,Education,1,Variable,EDQUALSECALL : Education Model
edqualsecallm,1408,4,Education,2,Parameter,edqualsecallm : Education Model
EDQUALSECMATH,1397,4,Education,1,Variable,EDQUALSECMATH : Education Model
edqualsecmathm,1479,4,Education,2,Parameter,edqualsecmathm : Education Model
EDQUALSECREAD,1398,4,Education,1,Variable,EDQUALSECREAD : Education Model
edqualsecreadm,1480,4,Education,2,Parameter,edqualsecreadm : Education Model
EDQUALSECSCI,1396,4,Education,1,Variable,EDQUALSECSCI : Education Model
edqualsecscim,1481,4,Education,2,Parameter,edqualsecscim : Education Model
edqualsecspndimp,1474,4,Education,2,Parameter,edqualsecspndimp : Education Model
edqualsecspndimpthreshold,1490,4,Education,2,Parameter,edqualsecspndimpthreshold : Education Model
edqualsecspndimpthresholdval,1495,4,Education,2,Parameter,edqualsecspndimpthresholdval : Education Model
EDSECENRG,178,4,Education,1,Variable,EDSECENRG : Education Model
EDSECENRN,179,4,Education,1,Variable,EDSECENRN : Education Model
EDSECLOWRENRG,180,4,Education,1,Variable,EDSECLOWRENRG : Education Model
edseclowrgradgr,1327,4,Education,2,Parameter,edseclowrgradgr : Education Model
EDSECLOWRGRADS,183,4,Education,1,Variable,EDSECLOWRGRADS : Education Model
extmafuncroad,347,11,Other,2,Parameter,extmafuncroad : Other Model
EDSECLOWRGRATE,184,4,Education,1,Variable,EDSECLOWRGRATE : Education Model
extmafuncroadpaved,348,11,Other,2,Parameter,extmafuncroadpaved : Other Model
edseclowrlen,185,4,Education,2,Parameter,edseclowrlen : Education Model
EDSECLOWRTOT,188,4,Education,1,Variable,EDSECLOWRTOT : Education Model
EDSECLOWRTRAN,189,4,Education,1,Variable,EDSECLOWRTRAN : Education Model
edseclowrtrangr,191,4,Education,2,Parameter,edseclowrtrangr : Education Model
EDSECLOWRVOC,192,4,Education,1,Variable,EDSECLOWRVOC : Education Model
extmaposnconvtimeelectran,351,11,Other,2,Parameter,extmaposnconvtimeelectran : Other Model
EDSECPER,193,4,Education,1,Variable,EDSECPER : Education Model
EDSECPER15TO24,,4,Education,1,Variable,EDSECPER15TO24 : Education Model
EDSECPER20TO24,1297,4,Education,1,Variable,EDSECPER20TO24 : Education Model
EDSECTOT,194,4,Education,1,Variable,EDSECTOT : Education Model
EDSECUPPRENRG,195,4,Education,1,Variable,EDSECUPPRENRG : Education Model
edsecupprgradgr,1330,4,Education,2,Parameter,edsecupprgradgr : Education Model
EDSECUPPRGRADS,198,4,Education,1,Variable,EDSECUPPRGRADS : Education Model
EDSECUPPRGRATE,199,4,Education,1,Variable,EDSECUPPRGRATE : Education Model
extmaposnconvtimeroad,353,11,Other,2,Parameter,extmaposnconvtimeroad : Other Model
edsecupprlen,200,4,Education,2,Parameter,edsecupprlen : Education Model
EDSECUPPRTOT,203,4,Education,1,Variable,EDSECUPPRTOT : Education Model
EDSECUPPRTRAN,204,4,Education,1,Variable,EDSECUPPRTRAN : Education Model
edsecupprtrangr,206,4,Education,2,Parameter,edsecupprtrangr : Education Model
extmaposnconvtimeroadpaved,354,11,Other,2,Parameter,extmaposnconvtimeroadpaved : Other Model
extmaposnelectran,355,11,Other,2,Parameter,extmaposnelectran : Other Model
EDSECUPPRVOC,207,4,Education,1,Variable,EDSECUPPRVOC : Education Model
extmaposnenelecshr,356,11,Other,2,Parameter,extmaposnenelecshr : Other Model
EDTERENRG,208,4,Education,1,Variable,EDTERENRG : Education Model
extmaposnroad,357,11,Other,2,Parameter,extmaposnroad : Other Model
extmaposnroadpaved,358,11,Other,2,Parameter,extmaposnroadpaved : Other Model
edtergradgr,211,4,Education,2,Parameter,edtergradgr : Education Model
GDPPOT,392,11,Other,1,Variable,GDPPOT : Other Model
EDTERGRADS,212,4,Education,1,Variable,EDTERGRADS : Education Model
gdprext,394,11,Other,2,Parameter,gdprext : Other Model
EDTERGRATE,213,4,Education,1,Variable,EDTERGRATE : Education Model
EDTERGRSCIEN,214,4,Education,1,Variable,EDTERGRSCIEN : Education Model
EDTERINT,215,4,Education,1,Variable,EDTERINT : Education Model
edterintgr,216,4,Education,2,Parameter,edterintgr : Education Model
gemm,403,11,Other,2,Parameter,gemm : Other Model
EDTERPER,217,4,Education,1,Variable,EDTERPER : Education Model
edterpushon,,4,Education,2,Parameter,edterpushon : Education Model
gemsetar,404,11,Other,2,Parameter,gemsetar : Other Model
EDTERTOT,219,4,Education,1,Variable,EDTERTOT : Education Model
EDTOTCOST,220,4,Education,1,Variable,EDTOTCOST : Education Model
EDYRSAG15,221,4,Education,1,Variable,EDYRSAG15 : Education Model
EDYRSAG15TO24,222,4,Education,1,Variable,EDYRSAG15TO24 : Education Model
EDYRSAG25,223,4,Education,1,Variable,EDYRSAG25 : Education Model
gemseyrtar,405,11,Other,2,Parameter,gemseyrtar : Other Model
EDYRSSLE,224,4,Education,1,Variable,EDYRSSLE : Education Model
elagind,226,1,Agriculture,2,Parameter,elagind : Agriculture Model
GLOBALIZ,411,11,Other,1,Variable,GLOBALIZ : Other Model
GOVEFFECT,423,11,Other,1,Variable,GOVEFFECT : Other Model
goveffectm,424,11,Other,2,Parameter,goveffectm : Other Model
goveffectsetar,425,11,Other,2,Parameter,goveffectsetar : Other Model
elascd,231,1,Agriculture,2,Parameter,elascd : Agriculture Model
elasde,232,5,Energy,2,Parameter,elasde : Energy Model
